utc_time,temp
2022-03-09T22:29:04Z,45.25
2022-03-09T22:45:32Z,44.31
2022-03-09T22:51:52Z,44.02
2022-03-09T22:59:33Z,43.63
2022-03-09T23:19:24Z,43.02
2022-03-09T23:32:49Z,42.06
2022-03-09T23:50:52Z,40.87
2022-03-09T23:59:34Z,39.87
2022-03-10T01:18:12Z,35.64
2022-03-10T02:12:31Z,34.59
2022-03-10T02:33:46Z,34.09
2022-03-10T02:56:01Z,33.24
2022-03-10T03:03:42Z,32.95
2022-03-10T03:29:15Z,32.81
2022-03-10T04:01:07Z,32.31
2022-03-10T04:49:38Z,31.03
2022-03-10T04:58:49Z,30.85
2022-03-10T05:38:04Z,30.15
2022-03-10T05:46:19Z,29.86
2022-03-10T05:54:32Z,29.79
2022-03-10T06:35:18Z,29.21
2022-03-10T06:59:30Z,28.42
2022-03-10T07:17:59Z,27.93
2022-03-10T07:39:21Z,27.93
