standings_type,last_updated,team_records_season,team_records_division_rank,team_records_league_rank,team_records_sport_rank,team_records_games_played,team_records_games_back,team_records_wild_card_games_back,team_records_league_games_back,team_records_spring_league_games_back,team_records_sport_games_back,team_records_division_games_back,team_records_conference_games_back,team_records_last_updated,team_records_runs_allowed,team_records_runs_scored,team_records_division_champ,team_records_division_leader,team_records_has_wildcard,team_records_clinched,team_records_elimination_number,team_records_elimination_number_sport,team_records_elimination_number_league,team_records_elimination_number_division,team_records_elimination_number_conference,team_records_wild_card_elimination_number,team_records_magic_number,team_records_wins,team_records_losses,team_records_run_differential,team_records_winning_percentage,team_records_wild_card_rank,team_records_wild_card_leader,team_records_team_id,team_records_team_name,team_records_team_link,team_records_streak_streak_code,team_records_streak_streak_type,team_records_streak_streak_number,team_records_league_record_wins,team_records_league_record_losses,team_records_league_record_ties,team_records_league_record_pct,team_records_records_split_records,team_records_records_division_records,team_records_records_overall_records,team_records_records_league_records,team_records_records_expected_records,league_id,league_link,division_id,division_link,sport_id,sport_link,round_robin_status,wins,losses,game_n,team
regularSeason,2026-07-24T18:04:05.126Z,2026,5,15,30,103,10.5,12.0,19.0,-,19.0,10.5,-,2026-07-22T22:48:40Z,500,442,FALSE,FALSE,TRUE,FALSE,50,41,41,50,41,47,NA,41,62,-58,.398,12,NA,108,Angels,/api/v1/teams/108,L1,losses,1,41,62,0,.398,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,41,62,103,Angels
regularSeason,2026-07-24T18:04:05.126Z,2026,3,10,21,104,2.0,3.5,10.5,-,10.5,2.0,-,2026-07-23T02:58:10Z,518,473,FALSE,FALSE,TRUE,FALSE,58,49,49,58,49,55,NA,50,54,-45,.481,7,NA,117,Astros,/api/v1/teams/117,W3,wins,3,50,54,0,.481,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,50,54,104,Astros
regularSeason,2026-07-24T18:04:05.126Z,2026,4,13,25,102,8.0,9.5,16.5,-,16.5,8.0,-,2026-07-23T12:51:36Z,580,458,FALSE,FALSE,TRUE,FALSE,53,44,44,53,44,50,NA,43,59,-122,.422,10,NA,133,Athletics,/api/v1/teams/133,L2,losses,2,43,59,0,.422,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,43,59,102,Athletics
regularSeason,2026-07-25T01:55:50.065Z,2026,5,12,24,103,13.0,6.0,13.0,-,13.0,13.0,-,2026-07-23T21:38:45Z,466,405,FALSE,FALSE,TRUE,FALSE,47,47,47,47,47,53,NA,47,56,-61,.456,9,NA,141,Blue Jays,/api/v1/teams/141,W1,wins,1,47,56,0,.456,,,,,,103,/api/v1/league/103,201,/api/v1/divisions/201,1,/api/v1/sports/1,false,47,56,103,Blue Jays
regularSeason,2026-07-25T01:49:00.071Z,2026,1,3,3,102,-,-,5.0,-,5.0,-,-,2026-07-23T19:26:45Z,402,508,FALSE,TRUE,TRUE,FALSE,-,55,55,-,55,-,55,60,42,106,.588,NA,NA,144,Braves,/api/v1/teams/144,W2,wins,2,60,42,0,.588,,,,,,104,/api/v1/league/104,204,/api/v1/divisions/204,1,/api/v1/sports/1,false,60,42,102,Braves
regularSeason,2026-07-25T01:27:56.103Z,2026,1,2,2,103,-,-,1.5,-,1.5,-,-,2026-07-24T23:06:10Z,386,516,FALSE,TRUE,TRUE,FALSE,-,58,58,-,58,-,54,64,39,130,.621,NA,NA,158,Brewers,/api/v1/teams/158,L1,losses,1,64,39,0,.621,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,64,39,103,Brewers
regularSeason,2026-07-25T01:27:56.103Z,2026,3,7,12,102,11.5,2.0,13.0,-,13.0,11.5,-,2026-07-24T00:18:40Z,458,454,FALSE,FALSE,TRUE,FALSE,49,47,47,49,47,58,NA,52,50,-4,.510,4,NA,138,Cardinals,/api/v1/teams/138,L1,losses,1,52,50,0,.510,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,52,50,102,Cardinals
regularSeason,2026-07-25T01:27:56.103Z,2026,2,4,5,103,6.0,+3.5,7.5,-,7.5,6.0,-,2026-07-25T01:27:56Z,457,523,FALSE,FALSE,TRUE,FALSE,54,52,52,54,52,-,NA,58,45,66,.563,1,TRUE,112,Cubs,/api/v1/teams/112,W1,wins,1,58,45,0,.563,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,58,45,103,Cubs
regularSeason,2026-07-25T01:49:01.757Z,2026,2,6,9,104,11.0,-,11.0,-,11.0,11.0,-,2026-07-25T01:31:05Z,467,469,FALSE,FALSE,TRUE,FALSE,48,48,48,48,48,-,NA,55,49,2,.529,3,TRUE,109,D-backs,/api/v1/teams/109,W4,wins,4,55,49,0,.529,,,,,,104,/api/v1/league/104,203,/api/v1/divisions/203,1,/api/v1/sports/1,false,55,49,104,D-backs
regularSeason,2026-07-25T01:49:01.757Z,2026,1,1,1,104,-,-,-,-,-,-,-,2026-07-25T01:49:01Z,380,539,FALSE,TRUE,TRUE,FALSE,-,-,-,-,-,-,48,66,38,159,.635,NA,NA,119,Dodgers,/api/v1/teams/119,W3,wins,3,66,38,0,.635,,,,,,104,/api/v1/league/104,203,/api/v1/divisions/203,1,/api/v1/sports/1,false,66,38,104,Dodgers
regularSeason,2026-07-25T01:49:01.757Z,2026,4,14,27,102,23.0,12.0,23.0,-,23.0,23.0,-,2026-07-24T18:04:06Z,481,417,FALSE,FALSE,TRUE,FALSE,37,37,37,37,37,48,NA,42,60,-64,.412,11,NA,137,Giants,/api/v1/teams/137,L5,losses,5,42,60,0,.412,,,,,,104,/api/v1/league/104,203,/api/v1/divisions/203,1,/api/v1/sports/1,false,42,60,102,Giants
regularSeason,2026-07-25T01:55:51.170Z,2026,2,5,11,105,2.0,-,7.0,-,7.0,2.0,-,2026-07-25T01:55:51Z,434,420,FALSE,FALSE,TRUE,FALSE,58,52,52,58,52,-,NA,54,51,-14,.514,3,TRUE,114,Guardians,/api/v1/teams/114,L3,losses,3,54,51,0,.514,,,,,,103,/api/v1/league/103,202,/api/v1/divisions/202,1,/api/v1/sports/1,false,54,51,105,Guardians
regularSeason,2026-07-24T18:04:05.126Z,2026,2,7,17,103,0.5,2.0,9.0,-,9.0,0.5,-,2026-07-24T18:04:05Z,398,415,FALSE,FALSE,TRUE,FALSE,60,51,51,60,51,57,NA,51,52,17,.495,4,NA,136,Mariners,/api/v1/teams/136,L2,losses,2,51,52,0,.495,,,,,,103,/api/v1/league/103,200,/api/v1/divisions/200,1,/api/v1/sports/1,false,51,52,103,Mariners
regularSeason,2026-07-25T01:49:00.071Z,2026,3,9,14,103,8.5,2.5,13.5,-,13.5,8.5,-,2026-07-23T02:58:11Z,446,457,FALSE,FALSE,TRUE,FALSE,52,46,46,52,46,57,NA,52,51,11,.505,6,NA,146,Marlins,/api/v1/teams/146,L9,losses,9,52,51,0,.505,,,,,,104,/api/v1/league/104,204,/api/v1/divisions/204,1,/api/v1/sports/1,false,52,51,103,Marlins
regularSeason,2026-07-25T01:49:00.071Z,2026,5,13,26,104,18.0,12.0,23.0,-,23.0,18.0,-,2026-07-25T01:49:00Z,487,421,FALSE,FALSE,TRUE,FALSE,42,36,36,42,36,47,NA,43,61,-66,.413,10,NA,121,Mets,/api/v1/teams/121,L2,losses,2,43,61,0,.413,,,,,,104,/api/v1/league/104,204,/api/v1/divisions/204,1,/api/v1/sports/1,false,43,61,104,Mets
regularSeason,2026-07-25T01:49:00.071Z,2026,4,10,16,104,9.0,3.0,14.0,-,14.0,9.0,-,2026-07-25T01:31:05Z,544,569,FALSE,FALSE,TRUE,FALSE,51,45,45,51,45,56,NA,52,52,25,.500,7,NA,120,Nationals,/api/v1/teams/120,L1,losses,1,52,52,0,.500,,,,,,104,/api/v1/league/104,204,/api/v1/divisions/204,1,/api/v1/sports/1,false,52,52,104,Nationals
regularSeason,2026-07-25T01:55:50.065Z,2026,4,9,20,103,10.0,3.0,10.0,-,10.0,10.0,-,2026-07-24T18:15:51Z,485,472,FALSE,FALSE,TRUE,FALSE,50,50,50,50,50,56,NA,50,53,-13,.485,6,NA,110,Orioles,/api/v1/teams/110,W1,wins,1,50,53,0,.485,,,,,,103,/api/v1/league/103,201,/api/v1/divisions/201,1,/api/v1/sports/1,false,50,53,103,Orioles
regularSeason,2026-07-25T01:49:01.757Z,2026,3,11,19,103,15.5,4.5,15.5,-,15.5,15.5,-,2026-07-23T19:26:46Z,456,426,FALSE,FALSE,TRUE,FALSE,44,44,44,44,44,55,NA,50,53,-30,.485,8,NA,135,Padres,/api/v1/teams/135,L2,losses,2,50,53,0,.485,,,,,,104,/api/v1/league/104,203,/api/v1/divisions/203,1,/api/v1/sports/1,false,50,53,103,Padres
regularSeason,2026-07-25T01:49:00.071Z,2026,2,5,7,104,5.0,+1.0,10.0,-,10.0,5.0,-,2026-07-25T01:21:00Z,464,448,FALSE,FALSE,TRUE,FALSE,55,49,49,55,49,-,NA,56,48,-16,.538,2,TRUE,143,Phillies,/api/v1/teams/143,L3,losses,3,56,48,0,.538,,,,,,104,/api/v1/league/104,204,/api/v1/divisions/204,1,/api/v1/sports/1,false,56,48,104,Phillies
regularSeason,2026-07-25T01:27:56.103Z,2026,4,8,13,104,11.5,2.0,13.0,-,13.0,11.5,-,2026-07-25T01:27:55Z,495,545,FALSE,FALSE,TRUE,FALSE,48,46,46,48,46,57,NA,53,51,50,.510,5,NA,134,Pirates,/api/v1/teams/134,L2,losses,2,53,51,0,.510,,,,,,104,/api/v1/league/104,205,/api/v1/divisions/205,1,/api/v1/sports/1,false,53,51,104,Pirates
