STATION,DATE,PRCP,TMAX,TMIN
USC00118740,2021-01-01,0.16,32,26
USC00118740,2021-01-02,0.65,33,31
USC00118740,2021-01-03,0.15,31,22
USC00118740,2021-01-04,0,33,18
USC00118740,2021-01-05,0,32,28
USC00118740,2021-01-06,0,38,28
USC00118740,2021-01-07,0,37,30
USC00118740,2021-01-08,0,34,30
USC00118740,2021-01-09,0,31,26
USC00118740,2021-01-10,0,27,23
USC00118740,2021-01-11,0,28,21
USC00118740,2021-01-12,0,41,20
USC00118740,2021-01-13,0,44,29
USC00118740,2021-01-14,0,42,28
USC00118740,2021-01-15,0.14,35,29
USC00118740,2021-01-16,0.07,33,28
USC00118740,2021-01-17,0.03,30,25
USC00118740,2021-01-18,0.01,35,23
USC00118740,2021-01-19,0,38,26
USC00118740,2021-01-20,0,35,16
USC00118740,2021-01-21,0,48,27
USC00118740,2021-01-22,0,31,14
USC00118740,2021-01-23,0,35,10
USC00118740,2021-01-24,0,37,29
USC00118740,2021-01-25,0,32,29
USC00118740,2021-01-26,0.2,32,27
USC00118740,2021-01-27,0,28,16
USC00118740,2021-01-28,0.03,28,12
USC00118740,2021-01-29,0,34,13
USC00118740,2021-01-30,0,34,25
USC00118740,2021-01-31,0.89,35,30
USC00118740,2021-02-01,0.21,31,24
USC00118740,2021-02-02,0,33,20
USC00118740,2021-02-03,0,37,16
USC00118740,2021-02-04,0,36,20
USC00118740,2021-02-05,0.22,29,17
USC00118740,2021-02-06,0,24,5
USC00118740,2021-02-07,0.02,7,-4
USC00118740,2021-02-08,0.06,7,-4
USC00118740,2021-02-09,0.01,14,7
USC00118740,2021-02-10,0,18,7
USC00118740,2021-02-11,0.07,21,12
USC00118740,2021-02-12,0,19,9
USC00118740,2021-02-13,0,12,-1
USC00118740,2021-02-14,0,5,-4
USC00118740,2021-02-15,0.09,9,0
USC00118740,2021-02-16,0.32,14,-5
USC00118740,2021-02-17,0,18,-8
USC00118740,2021-02-18,0.01,21,9
USC00118740,2021-02-19,0,NA,NA
USC00118740,2021-02-20,0,29,NA
USC00118740,2021-02-21,0,39,12
USC00118740,2021-02-22,0.02,42,29
USC00118740,2021-02-23,0,53,35
USC00118740,2021-02-24,0,52,32
USC00118740,2021-02-25,0,45,24
USC00118740,2021-02-26,0,49,25
USC00118740,2021-02-27,0,55,30
USC00118740,2021-02-28,1.16,59,33
USC00118740,2021-03-01,0.05,40,26
USC00118740,2021-03-02,0,47,20
USC00118740,2021-03-03,0,59,34
USC00118740,2021-03-04,0,47,27
USC00118740,2021-03-05,0,48,24
USC00118740,2021-03-06,0,52,NA
USC00118740,2021-03-07,0,NA,NA
USC00118740,2021-03-08,0,67,NA
USC00118740,2021-03-09,0,69,37
USC00118740,2021-03-10,0,68,51
USC00118740,2021-03-11,0.4,60,43
USC00118740,2021-03-12,0.01,54,39
USC00118740,2021-03-13,0,55,36
USC00118740,2021-03-14,0,52,40
USC00118740,2021-03-15,0.06,43,31
USC00118740,2021-03-16,0.52,43,35
USC00118740,2021-03-17,0,51,38
USC00118740,2021-03-18,1.23,45,34
USC00118740,2021-03-19,0.36,49,30
USC00118740,2021-03-20,0,57,28
USC00118740,2021-03-21,0,65,31
USC00118740,2021-03-22,0,67,36
USC00118740,2021-03-23,0,64,47
USC00118740,2021-03-24,0.13,61,44
USC00118740,2021-03-25,0,58,42
USC00118740,2021-03-26,1,51,40
USC00118740,2021-03-27,0,74,42
USC00118740,2021-03-28,0.35,51,31
USC00118740,2021-03-29,0,61,29
