"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MLY-PRCP-NORMAL","meas_flag_MLY-PRCP-NORMAL","comp_flag_MLY-PRCP-NORMAL","years_MLY-PRCP-NORMAL"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","01","2.07"," ","R","20"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","02","1.80"," ","R","18"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","03","2.57"," ","R","19"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","04","3.68"," ","R","23"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","05","4.39"," ","R","22"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","06","4.35"," ","R","22"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","07","3.87"," ","R","22"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","08","3.12"," ","R","23"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","09","3.05"," ","R","23"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","10","3.03"," ","R","22"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","11","2.90"," ","R","21"
"USW00094870","CHAMPAIGN WILLARD AP, IL US"," 40.0397"," -88.2778"," 229.8","12","2.14"," ","R","20"
