"station","date","max","min"
"USC00118740","01-01","34.4","20.1"
"USC00118740","01-02","34.2","19.9"
"USC00118740","01-03","34.1","19.7"
"USC00118740","01-04","33.9","19.4"
"USC00118740","01-05","33.8","19.2"
"USC00118740","01-06","33.7","19.0"
"USC00118740","01-07","33.6","18.8"
"USC00118740","01-08","33.5","18.6"
"USC00118740","01-09","33.4","18.5"
"USC00118740","01-10","33.3","18.3"
"USC00118740","01-11","33.2","18.1"
"USC00118740","01-12","33.2","17.9"
"USC00118740","01-13","33.1","17.8"
"USC00118740","01-14","33.1","17.7"
"USC00118740","01-15","33.0","17.5"
"USC00118740","01-16","33.0","17.4"
"USC00118740","01-17","33.0","17.3"
"USC00118740","01-18","33.0","17.2"
"USC00118740","01-19","33.1","17.1"
"USC00118740","01-20","33.1","17.1"
"USC00118740","01-21","33.1","17.0"
"USC00118740","01-22","33.2","17.0"
"USC00118740","01-23","33.3","17.0"
"USC00118740","01-24","33.4","17.0"
"USC00118740","01-25","33.5","17.0"
"USC00118740","01-26","33.6","17.0"
"USC00118740","01-27","33.7","17.1"
"USC00118740","01-28","33.8","17.2"
"USC00118740","01-29","34.0","17.2"
"USC00118740","01-30","34.1","17.3"
"USC00118740","01-31","34.3","17.5"
"USC00118740","02-01","34.5","17.6"
"USC00118740","02-02","34.7","17.8"
"USC00118740","02-03","34.9","17.9"
"USC00118740","02-04","35.1","18.1"
"USC00118740","02-05","35.3","18.3"
"USC00118740","02-06","35.6","18.5"
"USC00118740","02-07","35.8","18.8"
"USC00118740","02-08","36.1","19.0"
"USC00118740","02-09","36.4","19.3"
"USC00118740","02-10","36.7","19.6"
"USC00118740","02-11","37.0","19.9"
"USC00118740","02-12","37.3","20.1"
"USC00118740","02-13","37.6","20.5"
"USC00118740","02-14","37.9","20.8"
"USC00118740","02-15","38.3","21.1"
"USC00118740","02-16","38.6","21.4"
"USC00118740","02-17","39.0","21.8"
"USC00118740","02-18","39.3","22.1"
"USC00118740","02-19","39.7","22.5"
"USC00118740","02-20","40.1","22.8"
"USC00118740","02-21","40.5","23.2"
"USC00118740","02-22","40.9","23.5"
"USC00118740","02-23","41.3","23.9"
"USC00118740","02-24","41.7","24.3"
"USC00118740","02-25","42.1","24.6"
"USC00118740","02-26","42.5","25.0"
"USC00118740","02-27","42.9","25.4"
"USC00118740","02-28","43.3","25.7"
"USC00118740","02-29","43.6","25.9"
"USC00118740","03-01","43.8","26.1"
"USC00118740","03-02","44.2","26.5"
"USC00118740","03-03","44.6","26.8"
"USC00118740","03-04","45.1","27.2"
"USC00118740","03-05","45.5","27.5"
"USC00118740","03-06","45.9","27.9"
"USC00118740","03-07","46.4","28.2"
"USC00118740","03-08","46.8","28.6"
"USC00118740","03-09","47.3","28.9"
"USC00118740","03-10","47.7","29.3"
"USC00118740","03-11","48.2","29.6"
"USC00118740","03-12","48.6","29.9"
"USC00118740","03-13","49.1","30.3"
"USC00118740","03-14","49.5","30.6"
"USC00118740","03-15","50.0","30.9"
"USC00118740","03-16","50.4","31.3"
"USC00118740","03-17","50.9","31.6"
"USC00118740","03-18","51.3","31.9"
"USC00118740","03-19","51.8","32.2"
"USC00118740","03-20","52.2","32.5"
"USC00118740","03-21","52.6","32.9"
"USC00118740","03-22","53.1","33.2"
"USC00118740","03-23","53.5","33.5"
"USC00118740","03-24","54.0","33.8"
"USC00118740","03-25","54.4","34.1"
"USC00118740","03-26","54.8","34.5"
"USC00118740","03-27","55.3","34.8"
"USC00118740","03-28","55.7","35.1"
"USC00118740","03-29","56.1","35.4"
"USC00118740","03-30","56.6","35.8"
"USC00118740","03-31","57.0","36.1"
"USC00118740","04-01","57.4","36.4"
"USC00118740","04-02","57.8","36.8"
"USC00118740","04-03","58.2","37.1"
"USC00118740","04-04","58.7","37.4"
"USC00118740","04-05","59.1","37.8"
"USC00118740","04-06","59.5","38.1"
"USC00118740","04-07","59.9","38.5"
"USC00118740","04-08","60.3","38.8"
"USC00118740","04-09","60.7","39.2"
"USC00118740","04-10","61.1","39.5"
"USC00118740","04-11","61.5","39.9"
"USC00118740","04-12","61.9","40.3"
"USC00118740","04-13","62.3","40.6"
"USC00118740","04-14","62.6","41.0"
"USC00118740","04-15","63.0","41.4"
"USC00118740","04-16","63.4","41.7"
"USC00118740","04-17","63.8","42.1"
"USC00118740","04-18","64.1","42.5"
"USC00118740","04-19","64.5","42.8"
"USC00118740","04-20","64.9","43.2"
"USC00118740","04-21","65.2","43.6"
"USC00118740","04-22","65.6","44.0"
"USC00118740","04-23","66.0","44.3"
"USC00118740","04-24","66.3","44.7"
"USC00118740","04-25","66.7","45.1"
"USC00118740","04-26","67.0","45.5"
"USC00118740","04-27","67.4","45.8"
"USC00118740","04-28","67.7","46.2"
"USC00118740","04-29","68.1","46.6"
"USC00118740","04-30","68.4","47.0"
"USC00118740","05-01","68.8","47.3"
"USC00118740","05-02","69.1","47.7"
"USC00118740","05-03","69.4","48.1"
"USC00118740","05-04","69.8","48.4"
"USC00118740","05-05","70.1","48.8"
"USC00118740","05-06","70.5","49.2"
"USC00118740","05-07","70.8","49.5"
"USC00118740","05-08","71.1","49.9"
"USC00118740","05-09","71.5","50.2"
"USC00118740","05-10","71.8","50.6"
"USC00118740","05-11","72.1","51.0"
"USC00118740","05-12","72.5","51.3"
"USC00118740","05-13","72.8","51.7"
"USC00118740","05-14","73.1","52.0"
"USC00118740","05-15","73.5","52.4"
"USC00118740","05-16","73.8","52.7"
"USC00118740","05-17","74.1","53.1"
"USC00118740","05-18","74.5","53.4"
"USC00118740","05-19","74.8","53.8"
"USC00118740","05-20","75.1","54.1"
"USC00118740","05-21","75.5","54.5"
"USC00118740","05-22","75.8","54.8"
"USC00118740","05-23","76.1","55.2"
"USC00118740","05-24","76.5","55.5"
"USC00118740","05-25","76.8","55.9"
"USC00118740","05-26","77.1","56.2"
"USC00118740","05-27","77.5","56.6"
"USC00118740","05-28","77.8","56.9"
"USC00118740","05-29","78.1","57.2"
"USC00118740","05-30","78.4","57.6"
"USC00118740","05-31","78.7","57.9"
"USC00118740","06-01","79.1","58.2"
"USC00118740","06-02","79.4","58.6"
