"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","month","day","hour","DLY-TAVG-NORMAL","meas_flag_DLY-TAVG-NORMAL","comp_flag_DLY-TAVG-NORMAL","years_DLY-TAVG-NORMAL","DLY-TMAX-NORMAL","meas_flag_DLY-TMAX-NORMAL","comp_flag_DLY-TMAX-NORMAL","years_DLY-TMAX-NORMAL","DLY-TMIN-NORMAL","meas_flag_DLY-TMIN-NORMAL","comp_flag_DLY-TMIN-NORMAL","years_DLY-TMIN-NORMAL","DLY-DUTR-NORMAL","meas_flag_DLY-DUTR-NORMAL","comp_flag_DLY-DUTR-NORMAL","years_DLY-DUTR-NORMAL","DLY-TAVG-STDDEV","meas_flag_DLY-TAVG-STDDEV","comp_flag_DLY-TAVG-STDDEV","years_DLY-TAVG-STDDEV","DLY-TMAX-STDDEV","meas_flag_DLY-TMAX-STDDEV","comp_flag_DLY-TMAX-STDDEV","years_DLY-TMAX-STDDEV","DLY-TMIN-STDDEV","meas_flag_DLY-TMIN-STDDEV","comp_flag_DLY-TMIN-STDDEV","years_DLY-TMIN-STDDEV","DLY-DUTR-STDDEV","meas_flag_DLY-DUTR-STDDEV","comp_flag_DLY-DUTR-STDDEV","years_DLY-DUTR-STDDEV","DLY-HTDD-NORMAL","meas_flag_DLY-HTDD-NORMAL","comp_flag_DLY-HTDD-NORMAL","years_DLY-HTDD-NORMAL","DLY-HTDD-BASE40","meas_flag_DLY-HTDD-BASE40","comp_flag_DLY-HTDD-BASE40","years_DLY-HTDD-BASE40","DLY-HTDD-BASE45","meas_flag_DLY-HTDD-BASE45","comp_flag_DLY-HTDD-BASE45","years_DLY-HTDD-BASE45","DLY-HTDD-BASE50","meas_flag_DLY-HTDD-BASE50","comp_flag_DLY-HTDD-BASE50","years_DLY-HTDD-BASE50","DLY-HTDD-BASE55","meas_flag_DLY-HTDD-BASE55","comp_flag_DLY-HTDD-BASE55","years_DLY-HTDD-BASE55","DLY-HTDD-BASE57","meas_flag_DLY-HTDD-BASE57","comp_flag_DLY-HTDD-BASE57","years_DLY-HTDD-BASE57","DLY-HTDD-BASE60","meas_flag_DLY-HTDD-BASE60","comp_flag_DLY-HTDD-BASE60","years_DLY-HTDD-BASE60","DLY-CLDD-NORMAL","meas_flag_DLY-CLDD-NORMAL","comp_flag_DLY-CLDD-NORMAL","years_DLY-CLDD-NORMAL","DLY-CLDD-BASE40","meas_flag_DLY-CLDD-BASE40","comp_flag_DLY-CLDD-BASE40","years_DLY-CLDD-BASE40","DLY-CLDD-BASE45","meas_flag_DLY-CLDD-BASE45","comp_flag_DLY-CLDD-BASE45","years_DLY-CLDD-BASE45","DLY-CLDD-BASE50","meas_flag_DLY-CLDD-BASE50","comp_flag_DLY-CLDD-BASE50","years_DLY-CLDD-BASE50","DLY-CLDD-BASE55","meas_flag_DLY-CLDD-BASE55","comp_flag_DLY-CLDD-BASE55","years_DLY-CLDD-BASE55","DLY-CLDD-BASE57","meas_flag_DLY-CLDD-BASE57","comp_flag_DLY-CLDD-BASE57","years_DLY-CLDD-BASE57","DLY-CLDD-BASE60","meas_flag_DLY-CLDD-BASE60","comp_flag_DLY-CLDD-BASE60","years_DLY-CLDD-BASE60","DLY-CLDD-BASE70","meas_flag_DLY-CLDD-BASE70","comp_flag_DLY-CLDD-BASE70","years_DLY-CLDD-BASE70","DLY-CLDD-BASE72","meas_flag_DLY-CLDD-BASE72","comp_flag_DLY-CLDD-BASE72","years_DLY-CLDD-BASE72","DLY-GRDD-BASE65","meas_flag_DLY-GRDD-BASE65","comp_flag_DLY-GRDD-BASE65","years_DLY-GRDD-BASE65","DLY-GRDD-BASE40","meas_flag_DLY-GRDD-BASE40","comp_flag_DLY-GRDD-BASE40","years_DLY-GRDD-BASE40","DLY-GRDD-BASE45","meas_flag_DLY-GRDD-BASE45","comp_flag_DLY-GRDD-BASE45","years_DLY-GRDD-BASE45","DLY-GRDD-BASE50","meas_flag_DLY-GRDD-BASE50","comp_flag_DLY-GRDD-BASE50","years_DLY-GRDD-BASE50","DLY-GRDD-BASE55","meas_flag_DLY-GRDD-BASE55","comp_flag_DLY-GRDD-BASE55","years_DLY-GRDD-BASE55","DLY-GRDD-BASE57","meas_flag_DLY-GRDD-BASE57","comp_flag_DLY-GRDD-BASE57","years_DLY-GRDD-BASE57","DLY-GRDD-BASE60","meas_flag_DLY-GRDD-BASE60","comp_flag_DLY-GRDD-BASE60","years_DLY-GRDD-BASE60","DLY-GRDD-BASE70","meas_flag_DLY-GRDD-BASE70","comp_flag_DLY-GRDD-BASE70","years_DLY-GRDD-BASE70","DLY-GRDD-BASE72","meas_flag_DLY-GRDD-BASE72","comp_flag_DLY-GRDD-BASE72","years_DLY-GRDD-BASE72","DLY-GRDD-TB4886","meas_flag_DLY-GRDD-TB4886","comp_flag_DLY-GRDD-TB4886","years_DLY-GRDD-TB4886","DLY-GRDD-TB5086","meas_flag_DLY-GRDD-TB5086","comp_flag_DLY-GRDD-TB5086","years_DLY-GRDD-TB5086","DLY-PRCP-PCTALL-GE001HI","meas_flag_DLY-PRCP-PCTALL-GE001HI","comp_flag_DLY-PRCP-PCTALL-GE001HI","years_DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","meas_flag_DLY-PRCP-PCTALL-GE010HI","comp_flag_DLY-PRCP-PCTALL-GE010HI","years_DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE025HI","meas_flag_DLY-PRCP-PCTALL-GE025HI","comp_flag_DLY-PRCP-PCTALL-GE025HI","years_DLY-PRCP-PCTALL-GE025HI","DLY-PRCP-PCTALL-GE050HI","meas_flag_DLY-PRCP-PCTALL-GE050HI","comp_flag_DLY-PRCP-PCTALL-GE050HI","years_DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","meas_flag_DLY-PRCP-PCTALL-GE100HI","comp_flag_DLY-PRCP-PCTALL-GE100HI","years_DLY-PRCP-PCTALL-GE100HI","DLY-PRCP-PCTALL-GE200HI","meas_flag_DLY-PRCP-PCTALL-GE200HI","comp_flag_DLY-PRCP-PCTALL-GE200HI","years_DLY-PRCP-PCTALL-GE200HI","DLY-PRCP-PCTALL-GE400HI","meas_flag_DLY-PRCP-PCTALL-GE400HI","comp_flag_DLY-PRCP-PCTALL-GE400HI","years_DLY-PRCP-PCTALL-GE400HI","DLY-PRCP-PCTALL-GE600HI","meas_flag_DLY-PRCP-PCTALL-GE600HI","comp_flag_DLY-PRCP-PCTALL-GE600HI","years_DLY-PRCP-PCTALL-GE600HI","DLY-PRCP-25PCTL","meas_flag_DLY-PRCP-25PCTL","comp_flag_DLY-PRCP-25PCTL","years_DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","meas_flag_DLY-PRCP-50PCTL","comp_flag_DLY-PRCP-50PCTL","years_DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","meas_flag_DLY-PRCP-75PCTL","comp_flag_DLY-PRCP-75PCTL","years_DLY-PRCP-75PCTL","MTD-PRCP-NORMAL","meas_flag_MTD-PRCP-NORMAL","comp_flag_MTD-PRCP-NORMAL","years_MTD-PRCP-NORMAL","YTD-PRCP-NORMAL","meas_flag_YTD-PRCP-NORMAL","comp_flag_YTD-PRCP-NORMAL","years_YTD-PRCP-NORMAL"
"USW00094870","01-01"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","01","99","    27.3"," ","R","22","    34.8"," ","R","22","    19.7"," ","R","23","    15.1"," ","R","22","    11.9"," ","R","22","    12.0"," ","R","22","    12.7"," ","R","23","     7.0"," ","R","22","    37.7"," ","R","22","    13.6"," ","R","22","    18.1"," ","R","22","    22.8"," ","R","22","    27.7"," ","R","22","    29.7"," ","R","22","    32.7"," ","R","22","     0.0"," ","R","22","     0.9"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.9"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.4"," ","R","22","    29.5"," ","P","22","    15.0"," ","P","22","     8.7"," ","P","22","     4.7"," ","P","22","     1.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.31"," ","P","22","    0.09"," ","R","20","    0.09"," ","R","20"
"USW00094870","01-02"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","02","99","    27.1"," ","R","22","    34.7"," ","R","22","    19.5"," ","R","23","    15.1"," ","R","22","    11.9"," ","R","22","    12.0"," ","R","22","    12.7"," ","R","23","     7.0"," ","R","22","    37.9"," ","R","22","    13.7"," ","R","22","    18.2"," ","R","22","    23.0"," ","R","22","    27.9"," ","R","22","    29.9"," ","R","22","    32.9"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.4"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.4"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.4"," ","R","22","    29.4"," ","P","22","    14.9"," ","P","22","     8.6"," ","P","22","     4.7"," ","P","22","     1.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.31"," ","P","22","    0.18"," ","R","20","    0.18"," ","R","20"
"USW00094870","01-03"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","03","99","    26.9"," ","R","22","    34.5"," ","R","22","    19.3"," ","R","23","    15.2"," ","R","22","    11.9"," ","R","22","    12.0"," ","R","22","    12.8"," ","R","23","     7.1"," ","R","22","    38.1"," ","R","22","    13.9"," ","R","22","    18.4"," ","R","22","    23.2"," ","R","22","    28.1"," ","R","22","    30.1"," ","R","22","    33.1"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.4"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.4"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.4"," ","R","22","    29.3"," ","P","22","    14.8"," ","P","22","     8.5"," ","P","22","     4.7"," ","P","22","     1.1"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.30"," ","P","22","    0.27"," ","R","20","    0.27"," ","R","20"
"USW00094870","01-04"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","04","99","    26.8"," ","R","22","    34.4"," ","R","22","    19.1"," ","R","23","    15.3"," ","R","22","    11.9"," ","R","22","    12.0"," ","R","22","    12.8"," ","R","23","     7.1"," ","R","22","    38.2"," ","R","22","    14.0"," ","R","22","    18.6"," ","R","22","    23.4"," ","R","22","    28.3"," ","R","22","    30.3"," ","R","22","    33.2"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.3"," ","R","22","    29.2"," ","P","22","    14.7"," ","P","22","     8.4"," ","P","22","     4.7"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.30"," ","P","22","    0.35"," ","R","20","    0.35"," ","R","20"
"USW00094870","01-05"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","05","99","    26.6"," ","R","22","    34.3"," ","R","22","    18.9"," ","R","23","    15.4"," ","R","22","    11.8"," ","R","22","    12.0"," ","R","22","    12.8"," ","R","23","     7.2"," ","R","22","    38.4"," ","R","22","    14.2"," ","R","22","    18.7"," ","R","22","    23.5"," ","R","22","    28.4"," ","R","22","    30.4"," ","R","22","    33.4"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.3"," ","R","22","    29.1"," ","P","22","    14.6"," ","P","22","     8.3"," ","P","22","     4.7"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.30"," ","P","22","    0.44"," ","R","20","    0.44"," ","R","20"
"USW00094870","01-06"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","06","99","    26.4"," ","R","22","    34.2"," ","R","22","    18.7"," ","R","23","    15.4"," ","R","22","    11.8"," ","R","22","    12.0"," ","R","22","    12.8"," ","R","23","     7.2"," ","R","22","    38.5"," ","R","22","    14.3"," ","R","22","    18.9"," ","R","22","    23.7"," ","R","22","    28.6"," ","R","22","    30.6"," ","R","22","    33.5"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.8"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.3"," ","R","22","    29.0"," ","P","22","    14.5"," ","P","22","     8.2"," ","P","22","     4.6"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.29"," ","P","22","    0.52"," ","R","20","    0.52"," ","R","20"
"USW00094870","01-07"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","07","99","    26.3"," ","R","22","    34.1"," ","R","22","    18.5"," ","R","23","    15.5"," ","R","22","    11.9"," ","R","22","    12.0"," ","R","22","    12.9"," ","R","23","     7.3"," ","R","22","    38.7"," ","R","22","    14.4"," ","R","22","    19.0"," ","R","22","    23.8"," ","R","22","    28.7"," ","R","22","    30.7"," ","R","22","    33.7"," ","R","22","     0.0"," ","R","22","     0.7"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.7"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.3"," ","R","22","    28.9"," ","P","22","    14.4"," ","P","22","     8.1"," ","P","22","     4.6"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.29"," ","P","22","    0.60"," ","R","20","    0.60"," ","R","20"
"USW00094870","01-08"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","08","99","    26.2"," ","R","22","    34.0"," ","R","22","    18.4"," ","R","23","    15.6"," ","R","22","    11.9"," ","R","22","    12.0"," ","R","22","    12.9"," ","R","23","     7.3"," ","R","22","    38.8"," ","R","22","    14.5"," ","R","22","    19.1"," ","R","22","    23.9"," ","R","22","    28.8"," ","R","22","    30.8"," ","R","22","    33.8"," ","R","22","     0.0"," ","R","22","     0.7"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.7"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.5"," ","R","22","     0.3"," ","R","22","    28.8"," ","P","22","    14.3"," ","P","22","     8.1"," ","P","22","     4.5"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.29"," ","P","22","    0.67"," ","R","20","    0.67"," ","R","20"
"USW00094870","01-09"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","09","99","    26.1"," ","R","22","    33.9"," ","R","22","    18.2"," ","R","23","    15.7"," ","R","22","    11.9"," ","R","22","    11.9"," ","R","22","    12.9"," ","R","23","     7.4"," ","R","22","    38.9"," ","R","22","    14.6"," ","R","22","    19.2"," ","R","22","    24.0"," ","R","22","    29.0"," ","R","22","    31.0"," ","R","22","    33.9"," ","R","22","     0.0"," ","R","22","     0.6"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.6"," ","R","22","     0.3"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.4"," ","R","22","     0.3"," ","R","22","    28.7"," ","P","22","    14.3"," ","P","22","     8.0"," ","P","22","     4.5"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.29"," ","P","22","    0.75"," ","R","20","    0.75"," ","R","20"
"USW00094870","01-10"," 40.0397"," -88.2778"," 229.8","CHAMPAIGN WILLARD AP, IL US","01","10","99","    25.9"," ","R","22","    33.8"," ","R","22","    18.1"," ","R","23","    15.8"," ","R","22","    11.8"," ","R","22","    11.9"," ","R","22","    12.9"," ","R","23","     7.4"," ","R","22","    39.0"," ","R","22","    14.6"," ","R","22","    19.3"," ","R","22","    24.1"," ","R","22","    29.1"," ","R","22","    31.1"," ","R","22","    34.0"," ","R","22","     0.0"," ","R","22","     0.6"," ","R","22","     0.2"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.6"," ","R","22","     0.2"," ","R","22","     0.1"," ","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0","X","R","22","     0.0"," ","R","22","     0.0"," ","R","22","     0.4"," ","R","22","     0.3"," ","R","22","    28.6"," ","P","22","    14.2"," ","P","22","     7.9"," ","P","22","     4.5"," ","P","22","     1.2"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","     0.0"," ","P","22","    0.03"," ","P","22","    0.10"," ","P","22","    0.28"," ","P","22","    0.82"," ","R","20","    0.82"," ","R","20"
