date,value
1963-12-28,3409
1963-12-29,3409.2
1963-12-30,3409.4
1963-12-31,3409.6
1964-01-01,3409.8
1964-01-02,3410
1964-01-03,3410.2
1964-01-04,3410.4
1964-01-05,3410.6
1964-01-06,3410.8
1964-01-07,3411
1964-01-08,3411.2
1964-01-09,3411.3
1964-01-10,3411.5
1964-01-11,3411.7
1964-01-12,3411.8
1964-01-13,3411.9
1964-01-14,3412
1964-01-15,3412
1964-01-16,3412.1
1964-01-17,3412.2
1964-01-18,3412.3
1964-01-19,3412.4
1964-01-20,3412.5
1964-01-21,3412.7
1964-01-22,3412.9
1964-01-23,3413.1
1964-01-24,3413.3
1964-01-25,3413.5
1964-01-26,3413.7
1964-01-27,3414
1964-01-28,3414.2
1964-01-29,3414.4
1964-01-30,3414.5
1964-01-31,3414.6
1964-02-01,3414.6
1964-02-02,3414.6
1964-02-03,3414.6
1964-02-04,3414.6
1964-02-05,3414.5
1964-02-06,3414.5
1964-02-07,3414.5
1964-02-08,3414.5
1964-02-09,3414.5
1964-02-10,3414.4
1964-02-11,3414.4
1964-02-12,3414.4
1964-02-13,3414.4
1964-02-14,3414.4
1964-02-15,3414.4
1964-02-16,3414.4
1964-02-17,3414.5
1964-02-18,3414.5
1964-02-19,3414.5
1964-02-20,3414.5
1964-02-21,3414.5
1964-02-22,3414.5
1964-02-23,3414.5
1964-02-24,3414.6
1964-02-25,3414.6
1964-02-26,3414.7
1964-02-27,3414.7
1964-02-28,3414.8
1964-02-29,3414.8
1964-03-01,3414.8
1964-03-02,3414.8
1964-03-03,3414.8
1964-03-04,3414.8
1964-03-05,3414.8
1964-03-06,3414.8
1964-03-07,3414.8
1964-03-08,3414.8
1964-03-09,3414.8
1964-03-10,3414.9
1964-03-11,3414.9
1964-03-12,3414.9
1964-03-13,3414.9
1964-03-14,3414.9
1964-03-15,3414.9
1964-03-16,3414.9
1964-03-17,3414.9
1964-03-18,3414.9
1964-03-19,3414.9
1964-03-20,3414.9
1964-03-21,3414.9
1964-03-22,3414.9
1964-03-23,3414.9
1964-03-24,3414.9
1964-03-25,3414.9
1964-03-26,3414.9
1964-03-27,3414.6
1964-03-28,3413.6
1964-03-29,3412.8
1964-03-30,3411.8
1964-03-31,3410.8
1964-04-01,3409.9
1964-04-02,3409.1
1964-04-03,3408.4
