league,team_label,wins,losses,win_pct_text,games_remaining,post,div,win_ws
AL,CLE,51,28,.646,83,98.9,85.9,11.1
AL,BAL,51,30,.630,81,99.5,63.7,14.6
AL,NYY,52,31,.627,79,99.3,36,8.7
AL,MIN,45,36,.556,81,71,8.2,4.3
AL,SEA,46,37,.554,79,66,59.4,1.5
AL,KC ,45,38,.542,79,68,5.9,2.7
AL,BOS,43,37,.538,82,37.8,0.3,1.8
AL,HOU,40,40,.500,82,41.3,33.2,1.2
AL,TB ,40,41,.494,81,1.5,0,0
AL,TOR,37,43,.462,82,1.9,0,0
AL,DET,37,44,.457,81,5,0,0.1
AL,TEX,37,44,.457,81,9.4,7,0.3
AL,LAA,34,46,.425,82,0.4,0.4,0
AL,OAK,29,54,.349,79,0,0,0
AL,CWS,22,61,.265,79,0,0,0
NL,PHI,53,28,.654,81,99.9,94.5,16.5
NL,LAD,51,31,.622,80,99.9,98.6,18.2
NL,MIL,48,33,.593,81,99.3,96.3,11
NL,ATL,44,35,.557,83,86.4,4.8,2.7
NL,SD ,44,41,.518,77,73.7,1.3,2.3
NL,STL,41,39,.512,82,8.7,0.3,0.1
NL,NYM,39,39,.500,84,57.9,0.7,1.7
NL,PIT,39,41,.488,82,8.1,0.3,0.1
NL,SF ,40,43,.482,79,5.4,0,0
NL,ARI,39,43,.476,80,11,0.1,0
NL,CIN,38,43,.469,81,32.7,2.8,0.8
NL,WSH,38,43,.469,81,11.3,0,0.2
NL,CHC,38,44,.463,80,5.5,0.3,0.1
NL,MIA,29,52,.358,81,0,0,0
NL,COL,27,54,.333,81,0,0,0
