datetime,weather,temperature,humidity,precipAccumulation,temp,precip_one_hour,date
NA,Fair,NA,86,NA,40,NA,2022-01-04T00:53:00Z
NA,Fair,NA,89,NA,37,NA,2022-01-04T01:53:00Z
NA,Fair,NA,89,NA,35,NA,2022-01-04T02:53:00Z
NA,Fair,NA,86,NA,37,NA,2022-01-04T03:53:00Z
NA,Fair,NA,92,NA,34,NA,2022-01-04T04:53:00Z
NA,Fair,NA,86,NA,36,NA,2022-01-04T05:53:00Z
NA,Fair,NA,82,NA,35,NA,2022-01-04T06:53:00Z
NA,Partly Cloudy,NA,85,NA,34,NA,2022-01-04T07:53:00Z
NA,Overcast,NA,89,NA,35,NA,2022-01-04T08:53:00Z
NA,Overcast,NA,79,NA,36,NA,2022-01-04T09:53:00Z
NA,Overcast,NA,76,NA,37,NA,2022-01-04T10:53:00Z
NA,Overcast,NA,76,NA,37,NA,2022-01-04T11:53:00Z
NA,Overcast,NA,76,NA,37,NA,2022-01-04T12:53:00Z
NA,Overcast,NA,79,NA,37,NA,2022-01-04T13:53:00Z
NA,Overcast,NA,76,NA,37,NA,2022-01-04T14:53:00Z
NA,Overcast,NA,79,NA,36,NA,2022-01-04T15:53:00Z
NA,Overcast,NA,79,NA,36,NA,2022-01-04T16:53:00Z
NA,Overcast,NA,82,NA,36,NA,2022-01-04T17:53:00Z
NA,Overcast,NA,79,NA,37,NA,2022-01-04T18:53:00Z
NA,Overcast,NA,82,NA,37,NA,2022-01-04T19:53:00Z
NA,Overcast,NA,82,NA,37,NA,2022-01-04T20:53:00Z
NA,Overcast,NA,76,NA,38,NA,2022-01-04T21:53:00Z
NA,Overcast,NA,82,NA,37,NA,2022-01-04T22:53:00Z
NA,Overcast,NA,82,NA,37,NA,2022-01-04T23:53:00Z
NA,Overcast,NA,89,NA,36,NA,2022-01-05T00:53:00Z
NA,Overcast,NA,89,NA,36,NA,2022-01-05T01:53:00Z
NA,Overcast,NA,86,NA,37,NA,2022-01-05T02:53:00Z
NA,Overcast,NA,82,NA,37,NA,2022-01-05T03:53:00Z
NA,Overcast,NA,82,NA,36,NA,2022-01-05T04:53:00Z
NA,Overcast,NA,82,NA,36,NA,2022-01-05T05:53:00Z
NA,Overcast,NA,85,NA,35,NA,2022-01-05T06:53:00Z
NA,Overcast,NA,82,NA,35,NA,2022-01-05T07:53:00Z
NA,Light Snow Fog/Mist,NA,85,NA,34,NA,2022-01-05T08:53:00Z
NA,Light Snow Fog/Mist,NA,89,NA,34,NA,2022-01-05T09:53:00Z
NA,Light Snow Fog/Mist,NA,89,NA,34,0.01,2022-01-05T10:53:00Z
NA,Overcast,NA,79,NA,36,NA,2022-01-05T11:53:00Z
NA,Overcast,NA,78,NA,35,NA,2022-01-05T12:53:00Z
NA,Light Snow,NA,82,NA,35,NA,2022-01-05T13:53:00Z
NA,Overcast,NA,82,NA,35,NA,2022-01-05T14:53:00Z
NA,Overcast,NA,85,NA,34,NA,2022-01-05T15:53:00Z
NA,Overcast,NA,85,NA,34,NA,2022-01-05T16:53:00Z
NA,Overcast,NA,85,NA,34,NA,2022-01-05T17:53:00Z
NA,Overcast,NA,89,NA,33,NA,2022-01-05T18:53:00Z
NA,Overcast,NA,82,NA,34,NA,2022-01-05T19:53:00Z
NA,Overcast,NA,85,NA,33,NA,2022-01-05T20:53:00Z
NA,Overcast,NA,82,NA,33,NA,2022-01-05T21:53:00Z
NA,Overcast,NA,82,NA,33,NA,2022-01-05T22:53:00Z
NA,Overcast,NA,82,NA,33,NA,2022-01-05T23:53:00Z
NA,Overcast,NA,82,NA,33,NA,2022-01-06T00:53:00Z
NA,Overcast,NA,82,NA,32,NA,2022-01-06T01:53:00Z
NA,Overcast,NA,79,NA,32,NA,2022-01-06T02:53:00Z
NA,Overcast,NA,79,NA,32,NA,2022-01-06T03:53:00Z
NA,Overcast,NA,79,NA,32,NA,2022-01-06T04:53:00Z
NA,Overcast,NA,79,NA,32,NA,2022-01-06T05:53:00Z
NA,Overcast,NA,82,NA,31,NA,2022-01-06T06:53:00Z
NA,Overcast,NA,79,NA,32,NA,2022-01-06T07:53:00Z
NA,Overcast,NA,75,NA,33,NA,2022-01-06T08:53:00Z
NA,Overcast,NA,75,NA,33,NA,2022-01-06T09:53:00Z
NA,Mostly Cloudy,NA,72,NA,35,NA,2022-01-06T10:53:00Z
NA,A Few Clouds,NA,68,NA,38,NA,2022-01-06T11:53:00Z
NA,A Few Clouds,NA,65,NA,38,NA,2022-01-06T12:53:00Z
NA,Fair,NA,65,NA,39,NA,2022-01-06T13:53:00Z
NA,Fair,NA,65,NA,39,NA,2022-01-06T14:53:00Z
NA,Fair,NA,68,NA,38,NA,2022-01-06T15:53:00Z
NA,Fair,NA,73,NA,36,NA,2022-01-06T16:53:00Z
NA,Fair,NA,78,NA,35,NA,2022-01-06T17:53:00Z
NA,Fair,NA,78,NA,35,NA,2022-01-06T18:53:00Z
NA,Fair,NA,82,NA,33,NA,2022-01-06T19:53:00Z
NA,Fair,NA,85,NA,31,NA,2022-01-06T20:53:00Z
NA,Fair,NA,85,NA,29,NA,2022-01-06T21:53:00Z
NA,Fair,NA,81,NA,27,NA,2022-01-06T22:53:00Z
NA,Fair,NA,85,NA,25,NA,2022-01-06T23:53:00Z
NA,Fair,NA,88,NA,25,NA,2022-01-07T00:53:00Z
NA,Fair,NA,88,NA,24,NA,2022-01-07T01:53:00Z
NA,Fog/Mist,NA,84,NA,26,NA,2022-01-07T02:53:00Z
NA,Fog/Mist,NA,91,NA,24,NA,2022-01-07T03:53:00Z
NA,Fog/Mist,NA,91,NA,24,NA,2022-01-07T04:53:00Z
NA,Fog/Mist,NA,88,NA,23,NA,2022-01-07T05:53:00Z
NA,Fog/Mist,NA,85,NA,23,NA,2022-01-07T06:53:00Z
NA,Fog/Mist,NA,88,NA,23,NA,2022-01-07T07:53:00Z
NA,Fair with Haze,NA,81,NA,27,NA,2022-01-07T08:53:00Z
NA,Fair with Haze,NA,82,NA,30,NA,2022-01-07T09:53:00Z
NA,A Few Clouds,NA,76,NA,34,NA,2022-01-07T10:53:00Z
NA,A Few Clouds,NA,70,NA,35,NA,2022-01-07T11:53:00Z
NA,Partly Cloudy,NA,67,NA,37,NA,2022-01-07T12:53:00Z
NA,Partly Cloudy,NA,67,NA,37,NA,2022-01-07T13:53:00Z
NA,Partly Cloudy,NA,68,NA,38,NA,2022-01-07T14:53:00Z
NA,Partly Cloudy,NA,70,NA,37,NA,2022-01-07T15:53:00Z
NA,Mostly Cloudy,NA,78,NA,33,NA,2022-01-07T16:53:00Z
NA,Fair,NA,82,NA,32,NA,2022-01-07T17:53:00Z
NA,Fair,NA,85,NA,32,NA,2022-01-07T18:53:00Z
NA,Mostly Cloudy,NA,85,NA,32,NA,2022-01-07T19:53:00Z
NA,Overcast,NA,85,NA,32,NA,2022-01-07T20:53:00Z
NA,Mostly Cloudy,NA,89,NA,31,NA,2022-01-07T21:53:00Z
NA,Fair,NA,88,NA,30,NA,2022-01-07T22:53:00Z
NA,Fair,NA,88,NA,30,NA,2022-01-07T23:53:00Z
NA,Overcast,NA,85,NA,31,NA,2022-01-08T00:53:00Z
NA,Overcast,NA,85,NA,31,NA,2022-01-08T01:53:00Z
NA,Overcast,NA,82,NA,31,NA,2022-01-08T02:53:00Z
NA,Overcast,NA,85,NA,31,NA,2022-01-08T03:53:00Z
NA,Overcast,NA,85,NA,31,NA,2022-01-08T04:53:00Z
NA,Overcast,NA,85,NA,31,NA,2022-01-08T05:53:00Z
NA,Overcast,NA,85,NA,31,NA,2022-01-08T06:53:00Z
NA,Light Snow Fog/Mist,NA,85,NA,31,NA,2022-01-08T07:53:00Z
NA,Light Snow Fog/Mist,NA,89,NA,31,NA,2022-01-08T08:53:00Z
NA,Light Snow Fog/Mist,NA,88,NA,32,NA,2022-01-08T09:53:00Z
NA,Light Snow Fog/Mist,NA,88,NA,32,0.01,2022-01-08T10:53:00Z
NA,Light Snow Fog/Mist,NA,92,NA,32,0.02,2022-01-08T11:53:00Z
NA,Light Snow Fog/Mist,NA,92,NA,33,0.01,2022-01-08T12:53:00Z
NA,Overcast,NA,85,NA,34,NA,2022-01-08T13:53:00Z
NA,Overcast,NA,82,NA,35,NA,2022-01-08T14:53:00Z
NA,Overcast,NA,82,NA,34,NA,2022-01-08T15:53:00Z
NA,Overcast,NA,85,NA,33,NA,2022-01-08T16:53:00Z
NA,Overcast,NA,75,NA,33,NA,2022-01-08T17:53:00Z
NA,Overcast,NA,75,NA,33,NA,2022-01-08T18:53:00Z
NA,Overcast,NA,82,NA,32,NA,2022-01-08T19:53:00Z
NA,Mostly Cloudy,NA,82,NA,31,NA,2022-01-08T20:53:00Z
NA,Mostly Cloudy,NA,88,NA,28,NA,2022-01-08T21:53:00Z
NA,Fair,NA,88,NA,28,NA,2022-01-08T22:53:00Z
NA,Fog/Mist,NA,96,NA,23,NA,2022-01-08T23:53:00Z
NA,Fog/Mist,NA,92,NA,26,NA,2022-01-09T00:53:00Z
NA,Fog/Mist,NA,88,NA,24,NA,2022-01-09T01:53:00Z
NA,Fog/Mist,NA,92,NA,21,NA,2022-01-09T02:53:00Z
NA,Fog/Mist,NA,92,NA,23,NA,2022-01-09T03:53:00Z
